_id,id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
1,1,2010-01-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
2,2,2010-02-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
3,3,2010-03-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
4,4,2010-04-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
5,5,2010-05-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
6,6,2010-06-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
7,7,2010-07-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
8,8,2010-08-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
9,9,2010-09-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
10,10,2010-10-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
11,11,2010-11-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
12,12,2010-12-01T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
13,13,2010-01-13T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
14,14,2010-01-14T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
15,15,2010-01-15T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
16,16,2010-01-16T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
17,17,2010-01-17T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
18,18,2010-01-18T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
19,19,2010-01-19T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
20,20,2010-01-20T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
21,21,2010-01-21T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
22,22,2010-01-22T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
23,23,2010-01-23T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
24,24,2010-01-24T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
25,25,2010-01-25T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
26,26,2010-01-26T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
27,27,2010-01-27T00:00:00,ND,ND,ND,ND,ND,ND,ND,ND,ND
28,28,2010-01-28T00:00:00,21,ND,ND,ND,ND,ND,ND,ND,ND
29,29,2010-01-29T00:00:00,21,ND,ND,ND,ND,ND,ND,ND,ND
30,30,2010-01-30T00:00:00,15,ND,ND,ND,ND,ND,ND,ND,ND
31,31,2010-01-31T00:00:00,15,ND,ND,ND,ND,ND,ND,ND,ND
32,32,2010-01-02T00:00:00,14,ND,ND,ND,ND,ND,ND,ND,ND
33,33,2010-02-02T00:00:00,16,ND,ND,ND,ND,ND,ND,ND,ND
34,34,2010-03-02T00:00:00,14,ND,ND,ND,ND,ND,ND,ND,ND
35,35,2010-04-02T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
36,36,2010-05-02T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
37,37,2010-06-02T00:00:00,26,ND,ND,ND,ND,ND,ND,ND,ND
38,38,2010-07-02T00:00:00,24,ND,ND,ND,ND,ND,ND,ND,ND
39,39,2010-08-02T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
40,40,2010-09-02T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
41,41,2010-10-02T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
42,42,2010-11-02T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
43,43,2010-12-02T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
44,44,2010-02-13T00:00:00,5,ND,ND,ND,ND,ND,ND,ND,ND
45,45,2010-02-14T00:00:00,1,ND,ND,ND,ND,ND,ND,ND,ND
46,46,2010-02-15T00:00:00,8,ND,ND,ND,ND,ND,ND,ND,ND
47,47,2010-02-16T00:00:00,10,ND,ND,ND,ND,ND,ND,ND,ND
48,48,2010-02-17T00:00:00,12,ND,ND,ND,ND,ND,ND,ND,ND
49,49,2010-02-18T00:00:00,10,ND,ND,ND,ND,ND,ND,ND,ND
50,50,2010-02-19T00:00:00,12,ND,ND,ND,ND,ND,ND,ND,ND
51,51,2010-02-20T00:00:00,14,ND,ND,ND,ND,ND,ND,ND,ND
52,52,2010-02-21T00:00:00,29,ND,ND,ND,ND,ND,ND,ND,ND
53,53,2010-02-22T00:00:00,21,ND,ND,ND,ND,ND,ND,ND,ND
54,54,2010-02-23T00:00:00,26,ND,ND,ND,ND,ND,ND,ND,ND
55,55,2010-02-24T00:00:00,39,ND,ND,ND,ND,ND,ND,ND,ND
56,56,2010-02-25T00:00:00,29,ND,ND,ND,ND,ND,ND,ND,ND
57,57,2010-02-26T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
58,58,2010-02-27T00:00:00,42,ND,ND,ND,ND,ND,ND,ND,ND
59,59,2010-02-28T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
60,60,2010-01-03T00:00:00,37,ND,ND,ND,ND,ND,ND,ND,ND
61,61,2010-02-03T00:00:00,39,ND,ND,ND,ND,ND,ND,ND,ND
62,62,2010-03-03T00:00:00,37,ND,ND,ND,ND,ND,ND,ND,ND
63,63,2010-04-03T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
64,64,2010-05-03T00:00:00,47,ND,ND,ND,ND,ND,ND,ND,ND
65,65,2010-06-03T00:00:00,48,ND,ND,ND,ND,ND,ND,ND,ND
66,66,2010-07-03T00:00:00,45,ND,ND,ND,ND,ND,ND,ND,ND
67,67,2010-08-03T00:00:00,33,ND,ND,ND,ND,ND,ND,ND,ND
68,68,2010-09-03T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
69,69,2010-10-03T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
70,70,2010-11-03T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
71,71,2010-12-03T00:00:00,26,ND,ND,ND,ND,ND,ND,ND,ND
72,72,2010-03-13T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
73,73,2010-03-14T00:00:00,24,ND,ND,ND,ND,ND,ND,ND,ND
74,74,2010-03-15T00:00:00,24,ND,ND,ND,ND,ND,ND,ND,ND
75,75,2010-03-16T00:00:00,38,ND,ND,ND,ND,ND,ND,ND,ND
76,76,2010-03-17T00:00:00,37,ND,ND,ND,ND,ND,ND,ND,ND
77,77,2010-03-18T00:00:00,37,ND,ND,ND,ND,ND,ND,ND,ND
78,78,2010-03-19T00:00:00,38,ND,ND,ND,ND,ND,ND,ND,ND
79,79,2010-03-20T00:00:00,60,ND,ND,ND,ND,ND,ND,ND,ND
80,80,2010-03-21T00:00:00,59,ND,ND,ND,ND,ND,ND,ND,ND
81,81,2010-03-22T00:00:00,20,ND,ND,ND,ND,ND,ND,ND,ND
82,82,2010-03-23T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
83,83,2010-03-24T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
84,84,2010-03-25T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
85,85,2010-03-26T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
86,86,2010-03-27T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
87,87,2010-03-28T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
88,88,2010-03-29T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
89,89,2010-03-30T00:00:00,26,ND,ND,ND,ND,ND,ND,ND,ND
90,90,2010-03-31T00:00:00,24,ND,ND,ND,ND,ND,ND,ND,ND
91,91,2010-01-04T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
92,92,2010-02-04T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
93,93,2010-03-04T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
94,94,2010-04-04T00:00:00,20,ND,ND,ND,ND,ND,ND,ND,ND
95,95,2010-05-04T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
96,96,2010-06-04T00:00:00,28,ND,ND,ND,ND,ND,ND,ND,ND
97,97,2010-07-04T00:00:00,28,ND,ND,ND,ND,ND,ND,ND,ND
98,98,2010-08-04T00:00:00,25,ND,ND,ND,ND,ND,ND,ND,ND
99,99,2010-09-04T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
100,100,2010-10-04T00:00:00,46,ND,ND,ND,ND,ND,ND,ND,ND
101,101,2010-11-04T00:00:00,46,ND,ND,ND,ND,ND,ND,ND,ND
102,102,2010-12-04T00:00:00,35,ND,ND,ND,ND,ND,ND,ND,ND
103,103,2010-04-13T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
104,104,2010-04-14T00:00:00,33,ND,ND,ND,ND,ND,ND,ND,ND
105,105,2010-04-15T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
106,106,2010-04-16T00:00:00,46,ND,ND,ND,ND,ND,ND,ND,ND
107,107,2010-04-17T00:00:00,41,ND,ND,ND,ND,ND,ND,ND,ND
108,108,2010-04-18T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
109,109,2010-04-19T00:00:00,42,ND,ND,ND,ND,ND,ND,ND,ND
110,110,2010-04-20T00:00:00,47,ND,ND,ND,ND,ND,ND,ND,ND
111,111,2010-04-21T00:00:00,41,ND,ND,ND,ND,ND,ND,ND,ND
112,112,2010-04-22T00:00:00,43,ND,ND,ND,ND,ND,ND,ND,ND
113,113,2010-04-23T00:00:00,44,ND,ND,ND,ND,ND,ND,ND,ND
114,114,2010-04-24T00:00:00,42,ND,ND,ND,ND,ND,ND,ND,ND
115,115,2010-04-25T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
116,116,2010-04-26T00:00:00,29,ND,ND,ND,ND,ND,ND,ND,ND
117,117,2010-04-27T00:00:00,22,ND,ND,ND,ND,ND,ND,ND,ND
118,118,2010-04-28T00:00:00,22,ND,ND,ND,ND,ND,ND,ND,ND
119,119,2010-04-29T00:00:00,21,ND,ND,ND,ND,ND,ND,ND,ND
120,120,2010-04-30T00:00:00,47,ND,ND,ND,ND,ND,ND,ND,ND
121,121,2010-01-05T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
122,122,2010-02-05T00:00:00,14,ND,ND,ND,ND,ND,ND,ND,ND
123,123,2010-03-05T00:00:00,29,ND,ND,ND,ND,ND,ND,ND,ND
124,124,2010-04-05T00:00:00,32,ND,ND,ND,ND,ND,ND,ND,ND
125,125,2010-05-05T00:00:00,50,34,ND,ND,ND,ND,ND,ND,ND
126,126,2010-06-05T00:00:00,45,30,ND,ND,ND,ND,ND,ND,ND
127,127,2010-07-05T00:00:00,39,31,ND,ND,ND,ND,ND,ND,ND
128,128,2010-08-05T00:00:00,32,36,ND,ND,ND,ND,ND,ND,ND
129,129,2010-09-05T00:00:00,35,28,ND,ND,ND,ND,ND,ND,ND
130,130,2010-10-05T00:00:00,32,5,ND,ND,ND,ND,ND,ND,ND
131,131,2010-11-05T00:00:00,54,ND,ND,ND,ND,ND,ND,ND,ND
132,132,2010-12-05T00:00:00,59,ND,ND,ND,ND,ND,ND,ND,ND
133,133,2010-05-13T00:00:00,56,3,ND,ND,ND,ND,ND,ND,ND
134,134,2010-05-14T00:00:00,43,31,ND,ND,ND,ND,ND,ND,ND
135,135,2010-05-15T00:00:00,35,30,ND,ND,ND,ND,ND,ND,ND
136,136,2010-05-16T00:00:00,29,6,ND,ND,ND,ND,ND,ND,ND
137,137,2010-05-17T00:00:00,19,ND,ND,ND,ND,ND,ND,ND,ND
138,138,2010-05-18T00:00:00,36,ND,ND,ND,ND,ND,ND,ND,ND
139,139,2010-05-19T00:00:00,41,ND,ND,ND,ND,ND,ND,ND,ND
140,140,2010-05-20T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
141,141,2010-05-21T00:00:00,22,ND,ND,ND,ND,ND,ND,ND,ND
142,142,2010-05-22T00:00:00,28,ND,ND,ND,ND,ND,ND,ND,ND
143,143,2010-05-23T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
144,144,2010-05-24T00:00:00,30,ND,ND,ND,ND,ND,ND,ND,ND
145,145,2010-05-25T00:00:00,33,ND,ND,ND,ND,ND,ND,ND,ND
146,146,2010-05-26T00:00:00,32,ND,ND,ND,ND,ND,ND,ND,ND
147,147,2010-05-27T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
148,148,2010-05-28T00:00:00,33,ND,ND,ND,ND,ND,ND,ND,ND
149,149,2010-05-29T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
150,150,2010-05-30T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
151,151,2010-05-31T00:00:00,30,ND,ND,ND,ND,ND,ND,ND,ND
152,152,2010-01-06T00:00:00,30,ND,ND,ND,ND,ND,ND,ND,ND
153,153,2010-02-06T00:00:00,26,ND,ND,ND,ND,ND,ND,ND,ND
154,154,2010-03-06T00:00:00,37,ND,ND,ND,ND,ND,ND,ND,ND
155,155,2010-04-06T00:00:00,53,ND,ND,ND,ND,ND,ND,ND,ND
156,156,2010-05-06T00:00:00,48,ND,ND,ND,ND,ND,ND,ND,ND
157,157,2010-06-06T00:00:00,35,ND,ND,ND,ND,ND,ND,ND,ND
158,158,2010-07-06T00:00:00,23,ND,ND,ND,ND,ND,ND,ND,ND
159,159,2010-08-06T00:00:00,27,ND,ND,ND,ND,ND,ND,ND,ND
160,160,2010-09-06T00:00:00,33,ND,ND,ND,ND,ND,ND,ND,ND
161,161,2010-10-06T00:00:00,31,ND,ND,ND,ND,ND,ND,ND,ND
162,162,2010-11-06T00:00:00,38,ND,ND,ND,ND,ND,ND,ND,ND
163,163,2010-12-06T00:00:00,40,ND,ND,ND,ND,ND,ND,ND,ND
164,164,2010-06-13T00:00:00,34,ND,ND,ND,ND,ND,ND,ND,ND
165,165,2010-06-14T00:00:00,17,ND,ND,ND,ND,ND,ND,ND,ND
166,166,2010-06-15T00:00:00,13,ND,ND,ND,ND,ND,ND,ND,ND
167,167,2010-06-16T00:00:00,32,3,ND,ND,ND,ND,ND,ND,ND
168,168,2010-06-17T00:00:00,33,17,ND,ND,ND,ND,ND,ND,ND
169,169,2010-06-18T00:00:00,27,24,ND,ND,ND,ND,ND,ND,ND
170,170,2010-06-19T00:00:00,30,22,ND,ND,ND,ND,ND,ND,ND
171,171,2010-06-20T00:00:00,27,19,ND,ND,ND,ND,ND,ND,ND
172,172,2010-06-21T00:00:00,25,28,ND,ND,ND,ND,ND,ND,ND
173,173,2010-06-22T00:00:00,29,33,ND,ND,ND,ND,ND,ND,ND
174,174,2010-06-23T00:00:00,36,39,ND,ND,ND,ND,ND,ND,ND
175,175,2010-06-24T00:00:00,28,18,ND,ND,ND,ND,ND,ND,ND
176,176,2010-06-25T00:00:00,40,24,ND,ND,ND,ND,ND,ND,ND
177,177,2010-06-26T00:00:00,38,25,ND,ND,ND,ND,ND,ND,ND
178,178,2010-06-27T00:00:00,29,24,ND,ND,ND,ND,ND,ND,ND
179,179,2010-06-28T00:00:00,25,27,ND,ND,ND,ND,ND,ND,ND
180,180,2010-06-29T00:00:00,33,31,ND,ND,ND,ND,ND,ND,ND
181,181,2010-06-30T00:00:00,33,24,ND,ND,ND,ND,ND,ND,ND
182,182,2010-01-07T00:00:00,33,50,ND,ND,ND,ND,ND,ND,ND
183,183,2010-02-07T00:00:00,28,36,ND,ND,ND,ND,ND,ND,ND
184,184,2010-03-07T00:00:00,34,38,ND,ND,ND,ND,ND,ND,ND
185,185,2010-04-07T00:00:00,29,36,ND,ND,ND,ND,ND,ND,ND
186,186,2010-05-07T00:00:00,21,30,ND,ND,ND,ND,ND,ND,ND
187,187,2010-06-07T00:00:00,23,17,ND,ND,ND,ND,ND,ND,ND
188,188,2010-07-07T00:00:00,20,21,ND,ND,ND,ND,ND,ND,ND
189,189,2010-08-07T00:00:00,31,32,ND,ND,ND,ND,ND,ND,ND
190,190,2010-09-07T00:00:00,32,33,ND,ND,ND,ND,ND,ND,ND
191,191,2010-10-07T00:00:00,29,31,ND,ND,ND,ND,ND,ND,ND
192,192,2010-11-07T00:00:00,27,32,ND,ND,ND,ND,ND,ND,ND
193,193,2010-12-07T00:00:00,18,14,ND,ND,ND,ND,ND,ND,ND
194,194,2010-07-13T00:00:00,23,31,ND,ND,ND,ND,ND,ND,ND
195,195,2010-07-14T00:00:00,28,37,ND,ND,ND,ND,ND,ND,ND
196,196,2010-07-15T00:00:00,27,29,ND,ND,ND,ND,ND,ND,ND
197,197,2010-07-16T00:00:00,26,25,ND,ND,ND,ND,ND,ND,ND
198,198,2010-07-17T00:00:00,37,33,ND,ND,ND,ND,ND,ND,ND
199,199,2010-07-18T00:00:00,40,36,ND,ND,ND,ND,ND,ND,ND
200,200,2010-07-19T00:00:00,25,30,ND,ND,ND,ND,ND,ND,ND
201,201,2010-07-20T00:00:00,27,32,ND,ND,ND,ND,ND,ND,ND
202,202,2010-07-21T00:00:00,23,30,ND,ND,ND,ND,ND,ND,ND
203,203,2010-07-22T00:00:00,23,34,ND,ND,ND,ND,ND,ND,ND
204,204,2010-07-23T00:00:00,33,44,ND,ND,ND,ND,ND,ND,ND
205,205,2010-07-24T00:00:00,36,45,ND,ND,ND,ND,ND,ND,ND
206,206,2010-07-25T00:00:00,32,52,ND,ND,ND,ND,ND,ND,ND
207,207,2010-07-26T00:00:00,23,30,ND,ND,ND,ND,ND,ND,ND
208,208,2010-07-27T00:00:00,26,39,ND,ND,ND,ND,ND,ND,ND
209,209,2010-07-28T00:00:00,28,34,ND,ND,ND,ND,ND,ND,ND
210,210,2010-07-29T00:00:00,28,29,ND,ND,ND,ND,ND,ND,ND
211,211,2010-07-30T00:00:00,29,29,ND,ND,ND,ND,ND,ND,ND
212,212,2010-07-31T00:00:00,23,17,ND,ND,ND,ND,ND,ND,ND
213,213,2010-01-08T00:00:00,23,16,ND,ND,ND,ND,ND,ND,ND
214,214,2010-02-08T00:00:00,27,27,ND,ND,ND,ND,ND,ND,ND
215,215,2010-03-08T00:00:00,26,19,ND,ND,ND,ND,ND,ND,ND
216,216,2010-04-08T00:00:00,28,26,ND,ND,ND,ND,ND,ND,ND
217,217,2010-05-08T00:00:00,41,43,ND,ND,ND,ND,ND,ND,ND
218,218,2010-06-08T00:00:00,36,43,ND,ND,ND,ND,ND,ND,ND
219,219,2010-07-08T00:00:00,18,29,ND,ND,ND,ND,ND,ND,ND
220,220,2010-08-08T00:00:00,11,28,ND,ND,ND,ND,ND,ND,ND
221,221,2010-09-08T00:00:00,24,34,ND,ND,ND,ND,ND,ND,ND
222,222,2010-10-08T00:00:00,35,46,ND,ND,ND,ND,ND,ND,ND
223,223,2010-11-08T00:00:00,40,39,ND,ND,ND,ND,ND,ND,ND
224,224,2010-12-08T00:00:00,42,40,ND,ND,ND,ND,ND,ND,ND
225,225,2010-08-13T00:00:00,43,35,ND,ND,ND,ND,ND,ND,ND
226,226,2010-08-14T00:00:00,57,34,ND,ND,ND,ND,ND,ND,ND
227,227,2010-08-15T00:00:00,61,30,ND,ND,ND,ND,ND,ND,ND
228,228,2010-08-16T00:00:00,41,32,ND,ND,ND,ND,ND,ND,ND
229,229,2010-08-17T00:00:00,34,26,ND,ND,ND,ND,ND,ND,ND
230,230,2010-08-18T00:00:00,34,72,ND,ND,ND,ND,ND,ND,ND
231,231,2010-08-19T00:00:00,34,72,ND,ND,ND,ND,ND,ND,ND
232,232,2010-08-20T00:00:00,38,47,ND,ND,ND,ND,ND,ND,ND
233,233,2010-08-21T00:00:00,35,51,ND,ND,ND,ND,ND,ND,ND
234,234,2010-08-22T00:00:00,32,51,ND,ND,ND,ND,ND,ND,ND
235,235,2010-08-23T00:00:00,46,38,ND,ND,ND,ND,ND,ND,ND
236,236,2010-08-24T00:00:00,48,43,ND,ND,ND,ND,ND,ND,ND
237,237,2010-08-25T00:00:00,41,40,ND,ND,ND,ND,ND,ND,ND
238,238,2010-08-26T00:00:00,38,37,ND,ND,ND,ND,ND,ND,ND
239,239,2010-08-27T00:00:00,32,29,ND,ND,ND,ND,ND,ND,ND
240,240,2010-08-28T00:00:00,33,26,ND,ND,ND,ND,ND,ND,ND
241,241,2010-08-29T00:00:00,32,24,ND,ND,ND,ND,ND,ND,ND
242,242,2010-08-30T00:00:00,23,29,ND,ND,ND,ND,ND,ND,ND
243,243,2010-08-31T00:00:00,22,25,ND,ND,ND,ND,ND,ND,ND
244,244,2010-01-09T00:00:00,26,26,ND,ND,ND,ND,ND,ND,ND
245,245,2010-02-09T00:00:00,22,27,ND,ND,ND,ND,ND,ND,ND
246,246,2010-03-09T00:00:00,45,51,ND,ND,ND,ND,ND,ND,ND
247,247,2010-04-09T00:00:00,46,50,ND,ND,ND,ND,ND,ND,ND
248,248,2010-05-09T00:00:00,26,34,ND,ND,ND,ND,ND,ND,ND
249,249,2010-06-09T00:00:00,33,34,ND,ND,ND,ND,ND,ND,ND
250,250,2010-07-09T00:00:00,51,40,ND,ND,ND,ND,ND,ND,ND
251,251,2010-08-09T00:00:00,52,41,ND,ND,ND,ND,ND,ND,ND
252,252,2010-09-09T00:00:00,40,45,ND,ND,ND,ND,ND,ND,ND
253,253,2010-10-09T00:00:00,34,52,ND,ND,ND,ND,ND,ND,ND
254,254,2010-11-09T00:00:00,35,52,ND,ND,ND,ND,ND,ND,ND
255,255,2010-12-09T00:00:00,23,36,ND,ND,ND,ND,ND,ND,ND
256,256,2010-09-13T00:00:00,31,27,ND,ND,ND,ND,ND,ND,ND
257,257,2010-09-14T00:00:00,37,41,ND,ND,ND,ND,ND,ND,ND
258,258,2010-09-15T00:00:00,41,47,ND,ND,ND,ND,ND,ND,ND
259,259,2010-09-16T00:00:00,41,42,ND,ND,ND,ND,ND,ND,ND
260,260,2010-09-17T00:00:00,40,31,ND,ND,ND,ND,ND,ND,ND
261,261,2010-09-18T00:00:00,28,41,ND,ND,ND,ND,ND,ND,ND
262,262,2010-09-19T00:00:00,28,40,ND,ND,ND,ND,ND,ND,ND
263,263,2010-09-20T00:00:00,25,31,ND,ND,ND,ND,ND,ND,ND
264,264,2010-09-21T00:00:00,35,30,ND,ND,ND,ND,ND,ND,ND
265,265,2010-09-22T00:00:00,33,28,ND,ND,ND,ND,ND,ND,ND
266,266,2010-09-23T00:00:00,46,43,ND,ND,ND,ND,ND,ND,ND
267,267,2010-09-24T00:00:00,40,38,ND,ND,ND,ND,ND,ND,ND
268,268,2010-09-25T00:00:00,36,41,ND,ND,ND,ND,ND,ND,ND
269,269,2010-09-26T00:00:00,28,25,ND,ND,ND,ND,ND,ND,ND
