Fecha & Hora,PM2,,
3/01/13 1:00,4,11,
3/01/13 2:00,ND,12,
3/01/13 3:00,ND,4,
3/01/13 4:00,3,4,
3/01/13 5:00,1,4,
3/01/13 6:00,ND,5,
3/01/13 7:00,1,20,
3/01/13 8:00,ND,22,
3/01/13 9:00,ND,23,
3/01/13 10:00,1,19,
3/01/13 11:00,2,8,
3/01/13 12:00,ND,7,
3/01/13 13:00,ND,7,
3/01/13 14:00,ND,11,
3/01/13 15:00,9,11,
3/01/13 16:00,9,11,
3/01/13 17:00,5,22,
3/01/13 18:00,1,33,
3/01/13 19:00,ND,37,
3/01/13 20:00,ND,23,
3/01/13 21:00,ND,22,
3/01/13 22:00,2,22,
3/01/13 23:00,5,16,
3/02/13 0:00,2,11,
3/02/13 1:00,9,9,
3/02/13 2:00,5,8,
3/02/13 3:00,ND,9,
3/02/13 4:00,ND,13,
3/02/13 5:00,ND,8,
3/02/13 6:00,ND,6,
3/02/13 7:00,ND,5,
3/02/13 8:00,5,16,
3/02/13 9:00,4,40,
3/02/13 10:00,6,24,
3/02/13 11:00,7,14,
3/02/13 12:00,21,13,
3/02/13 13:00,13,10,
3/02/13 14:00,23,13,
3/02/13 15:00,14,14,
3/02/13 16:00,14,13,
3/02/13 17:00,13,11,
3/02/13 18:00,17,13,
3/02/13 19:00,2,25,
3/02/13 20:00,2,24,
3/02/13 21:00,4,30,
3/02/13 22:00,14,39,
3/02/13 23:00,14,37,
3/03/13 0:00,7,22,
3/03/13 1:00,ND,17,
3/03/13 2:00,16,23,
3/03/13 3:00,11,16,
3/03/13 4:00,7,16,
3/03/13 5:00,4,16,
3/03/13 6:00,5,13,
3/03/13 7:00,3,14,
3/03/13 8:00,11,15,
3/03/13 9:00,5,16,
3/03/13 10:00,5,10,
3/03/13 11:00,ND,8,
3/03/13 12:00,ND,7,
3/03/13 13:00,5,7,
3/03/13 14:00,4,10,
3/03/13 15:00,ND,8,
3/03/13 16:00,ND,9,
3/03/13 16:00,ND,10,
3/03/13 18:00,ND,15,
3/03/13 19:00,ND,20,
3/03/13 20:00,ND,23,
3/03/13 21:00,ND,30,
3/03/13 22:00,8,31,
3/03/13 23:00,4,27,
3/04/13 0:00,4,21,
3/04/13 1:00,2,20,
3/04/13 2:00,16,15,
3/04/13 3:00,7,21,
3/04/13 4:00,4,14,
3/04/13 5:00,ND,8,
3/04/13 6:00,5,15,
3/04/13 7:00,11,16,
3/04/13 8:00,8,21,
3/04/13 9:00,10,29,
3/04/13 10:00,6,25,
3/04/13 11:00,4,18,
3/04/13 12:00,6,26,
3/04/13 13:00,11,35,
3/04/13 14:00,32,40,
3/04/13 15:00,26,31,
3/04/13 16:00,21,20,
3/04/13 17:00,16,27,
3/04/13 18:00,28,33,
3/04/13 19:00,20,37,
3/04/13 20:00,21,39,
3/04/13 21:00,12,34,
3/04/13 22:00,16,34,
3/04/13 23:00,23,38,
3/05/13 0:00,29,44,
3/05/13 1:00,7,30,
3/05/13 2:00,23,27,
3/05/13 3:00,27,18,
3/05/13 4:00,17,21,
3/05/13 5:00,21,18,
3/05/13 6:00,7,18,
3/05/13 7:00,14,21,
3/05/13 8:00,17,17,
3/05/13 9:00,22,17,
3/05/13 10:00,17,13,
3/05/13 11:00,7,13,
3/05/13 12:00,17,7,
3/05/13 13:00,22,8,
3/05/13 14:00,29,12,124
3/05/13 15:00,27,12,
3/05/13 16:00,20,13,
3/05/13 17:00,12,13,
3/05/13 18:00,6,16,
3/05/13 19:00,6,25,
3/05/13 20:00,7,27,
3/05/13 21:00,15,27,
3/05/13 22:00,12,25,
3/05/13 23:00,14,17,
3/06/13 0:00,24,13,
3/06/13 1:00,24,14,
3/06/13 2:00,23,14,
3/06/13 3:00,13,12,
3/06/13 4:00,14,8,
3/06/13 5:00,12,12,
3/06/13 6:00,7,15,
3/06/13 7:00,10,17,
3/06/13 8:00,18,19,
3/06/13 9:00,14,15,
3/06/13 10:00,7,10,
3/06/13 11:00,7,9,
3/06/13 12:00,9,7,
3/06/13 13:00,12,7,
3/06/13 14:00,7,8,
3/06/13 15:00,3,8,
3/06/13 16:00,2,19,
3/06/13 17:00,ND,19,
3/06/13 18:00,ND,20,
3/06/13 19:00,ND,27,
3/06/13 20:00,6,32,
3/06/13 21:00,7,28,
3/06/13 22:00,6,26,
3/06/13 23:00,1,12,
3/07/13 0:00,ND,5,
3/07/13 1:00,ND,11,
3/07/13 2:00,ND,12,
3/07/13 3:00,3,10,
3/07/13 4:00,ND,9,
3/07/13 5:00,ND,9,
3/07/13 6:00,ND,18,
3/07/13 7:00,ND,33,
3/07/13 8:00,ND,28,
3/07/13 9:00,ND,19,
3/07/13 10:00,ND,11,
3/07/13 11:00,ND,10,
3/07/13 12:00,ND,17,
3/07/13 13:00,ND,12,
3/07/13 14:00,ND,9,
3/07/13 15:00,ND,9,
3/07/13 16:00,ND,10,
3/07/13 17:00,6,9,
3/07/13 18:00,1,14,
3/07/13 19:00,ND,23,
3/07/13 20:00,ND,34,
3/07/13 21:00,17,48,
3/07/13 22:00,11,43,
3/07/13 23:00,12,37,
3/08/13 0:00,8,34,
3/08/13 1:00,3,28,
3/08/13 2:00,2,11,
3/08/13 3:00,6,16,
3/08/13 4:00,4,10,
3/08/13 5:00,ND,7,
3/08/13 6:00,2,15,
3/08/13 7:00,12,20,
3/08/13 8:00,16,28,
3/08/13 9:00,27,49,
3/08/13 10:00,9,30,
3/08/13 11:00,9,14,
3/08/13 12:00,7,10,
3/08/13 13:00,11,8,
3/08/13 14:00,12,7,
3/08/13 15:00,11,10,
3/08/13 16:00,18,12,
3/08/13 17:00,23,15,
3/08/13 18:00,14,21,
3/08/13 19:00,9,24,
3/08/13 20:00,7,24,
3/08/13 21:00,20,50,
3/08/13 22:00,11,45,
3/08/13 23:00,24,36,
3/09/13 0:00,22,39,
3/09/13 1:00,15,23,
3/09/13 2:00,22,27,
3/09/13 3:00,18,18,
3/09/13 4:00,24,22,
3/09/13 5:00,15,13,
3/09/13 6:00,20,17,
3/09/13 7:00,16,21,
3/09/13 8:00,17,20,
3/09/13 9:00,18,25,
3/09/13 10:00,12,22,
3/09/13 11:00,20,14,
3/09/13 12:00,ND,9,
3/09/13 13:00,11,9,
3/09/13 14:00,15,9,
3/09/13 15:00,21,11,
3/09/13 16:00,1,9,
3/09/13 17:00,ND,9,
3/09/13 18:00,ND,12,
3/09/13 19:00,ND,17,
3/09/13 20:00,ND,26,
3/09/13 21:00,ND,29,
3/09/13 22:00,10,28,
3/09/13 23:00,10,24,
3/10/13 0:00,7,23,
3/10/13 1:00,8,21,
3/10/13 2:00,6,18,
3/10/13 3:00,9,12,
3/10/13 4:00,7,9,
3/10/13 5:00,3,8,
3/10/13 6:00,6,10,
3/10/13 7:00,3,14,
3/10/13 8:00,10,17,
3/10/13 9:00,9,18,
3/10/13 10:00,4,13,
3/10/13 11:00,7,9,
3/10/13 12:00,17,11,
3/10/13 13:00,9,9,
3/10/13 14:00,13,10,
3/10/13 15:00,19,9,
3/10/13 16:00,12,8,
3/10/13 17:00,6,8,
3/10/13 18:00,ND,10,
3/10/13 19:00,ND,15,
3/10/13 20:00,1,22,
3/10/13 21:00,2,26,
3/10/13 22:00,1,28,
3/10/13 23:00,4,23,
3/11/13 0:00,4,21,
3/11/13 1:00,15,22,
3/11/13 2:00,14,12,
3/11/13 3:00,15,12,
3/11/13 4:00,4,12,
3/11/13 5:00,5,12,
3/11/13 6:00,9,12,
3/11/13 7:00,6,16,
3/11/13 8:00,19,23,
3/11/13 9:00,9,19,
3/11/13 10:00,5,12,
3/11/13 11:00,1,11,
3/11/13 12:00,ND,9,
3/11/13 13:00,16,10,
3/11/13 14:00,21,13,
3/11/13 15:00,1,13,
3/11/13 16:00,ND,9,
3/11/13 17:00,ND,10,
3/11/13 18:00,ND,11,
3/11/13 19:00,ND,12,
3/11/13 20:00,ND,16,
3/11/13 21:00,ND,10,
3/11/13 22:00,ND,10,20
3/11/13 23:00,3,5,
3/12/13 0:00,3,5,
3/12/13 1:00,ND,6,
3/12/13 2:00,ND,12,
3/12/13 3:00,5,10,
3/12/13 4:00,6,10,
3/12/13 5:00,10,13,
3/12/13 6:00,8,14,
3/12/13 7:00,8,15,
3/12/13 8:00,15,16,
3/12/13 9:00,16,15,
3/12/13 10:00,10,17,
3/12/13 11:00,8,8,
3/12/13 12:00,1,6,
3/12/13 13:00,1,8,
3/12/13 14:00,11,7,
3/12/13 15:00,15,13,
3/12/13 16:00,4,9,
3/12/13 17:00,ND,12,
3/12/13 18:00,1,15,
3/12/13 19:00,2,17,
3/12/13 20:00,ND,22,
