Fecha & Hora,PM10 (ug/m3),O3  (ug/m3),Vel Viento  (m/s),Dir Viento (Grados),Temperatura (C°),Humedad (%),Radiacion Solar (Watt/M2),Lluvia (mm)
2013-02-27T00:00:00,ND,0,,,,,,
2013-02-27T01:00:00,ND,1,,,,,,
2013-02-27T02:00:00,ND,0,,,,,,
2013-02-27T03:00:00,ND,4,,,,,,
2013-02-27T04:00:00,ND,2,,,,,,
2013-02-27T05:00:00,ND,0,,,,,,
2013-02-27T06:00:00,ND,0,,,,,,
2013-02-27T07:00:00,ND,0,,,,,,
2013-02-27T08:00:00,ND,2,,,,,,
2013-02-27T09:00:00,ND,13,,,,,,
2013-02-27T10:00:00,ND,28,,,,,,
2013-02-27T11:00:00,ND,49,,,,,,
2013-02-27T12:00:00,ND,70,,,,,,
2013-02-27T13:00:00,ND,ND,ND,ND,ND,ND,ND,ND
2013-02-27T14:00:00,ND,ND,ND,ND,ND,ND,ND,ND
2013-02-27T15:00:00,ND,91,,,,,,
2013-02-27T16:00:00,ND,96,,,,,,
2013-02-27T17:00:00,ND,93,,,,,,
2013-02-27T18:00:00,ND,66,,,,,,
2013-02-27T19:00:00,ND,18,,,,,,
2013-02-27T20:00:00,ND,3,,,,,,
2013-02-27T21:00:00,ND,16,,,,,,
2013-02-27T22:00:00,ND,18,,,,,,
2013-02-27T23:00:00,ND,10,,,,,,
2013-02-28T00:00:00,ND,11,,,,,,
2013-02-28T01:00:00,ND,9,,,,,,
2013-02-28T02:00:00,ND,5,0,,,,,
2013-02-28T03:00:00,ND,6,,,,,,
2013-02-28T04:00:00,ND,2,,,,,,
2013-02-28T05:00:00,ND,1,,,,,,
2013-02-28T06:00:00,ND,0,,,,,,
2013-02-28T07:00:00,ND,1,,,,,,
2013-02-28T08:00:00,11,3,,,,,,
2013-02-28T09:00:00,14,11,,,,,,
2013-02-28T10:00:00,12,20,,,,,,
2013-02-28T11:00:00,22,39,,,,,,
2013-02-28T12:00:00,26,50,,,,,,
2013-02-28T13:00:00,18,55,,,,,,
2013-02-28T14:00:00,26,71,,,,,,
2013-02-28T15:00:00,23,89,,,,,,
2013-02-28T16:00:00,19,96,,,,,,
2013-02-28T17:00:00,37,88,,,,,,
2013-02-28T18:00:00,42,68,,,,,,
2013-02-28T19:00:00,35,49,,,,,,
2013-02-28T20:00:00,32,26,,,,,,
2013-02-28T21:00:00,39,25,,,,,,
2013-02-28T22:00:00,27,37,,,,,,
2013-02-28T23:00:00,21,42,,,,,,
2013-03-01T00:00:00,14,32,,,,,,
2013-03-01T01:00:00,12,26,,,,,,
2013-03-01T02:00:00,18,17,,,,,,
2013-03-01T03:00:00,7,28,,,,,,
2013-03-01T04:00:00,4,27,,,,,,
2013-03-01T05:00:00,2,23,,,,,,
2013-03-01T06:00:00,4,19,,,,,,
2013-03-01T07:00:00,1,17,,,,,,
2013-03-01T08:00:00,0,16,,,,,,
2013-03-01T09:00:00,9,20,,,,,,
2013-03-01T10:00:00,5,32,,,,,,
2013-03-01T11:00:00,0,47,,,,,,
2013-03-01T12:00:00,3,60,,,,,,
2013-03-01T13:00:00,3,70,,,,,,
2013-03-01T14:00:00,12,70,,,,,,
2013-03-01T15:00:00,8,72,,,,,,
2013-03-01T16:00:00,20,79,,,,,,
2013-03-01T17:00:00,35,72,,,,,,
2013-03-01T18:00:00,28,62,,,,,,
2013-03-01T19:00:00,31,44,,,,,,
2013-03-01T20:00:00,38,14,,,,,,
2013-03-01T21:00:00,37,0,,,,,,
2013-03-01T22:00:00,22,8,,,,,,
2013-03-01T23:00:00,8,17,,,,,,
2013-03-02T00:00:00,10,18,,,,,,
2013-03-02T01:00:00,31,13,,,,,,
2013-03-02T02:00:00,20,7,,,,,,
2013-03-02T03:00:00,14,5,,,,,,
2013-03-02T04:00:00,25,1,,,,,,
2013-03-02T05:00:00,24,0,,,,,,
2013-03-02T06:00:00,6,0,,,,,,
2013-03-02T07:00:00,23,0,,,,,,
2013-03-02T08:00:00,39,1,,,,,,
2013-03-02T09:00:00,41,7,,,,,,
2013-03-02T10:00:00,37,28,,,,,,
2013-03-02T11:00:00,40,55,,,,,,
2013-03-02T12:00:00,45,77,,,,,,
2013-03-02T13:00:00,66,90,,,,,,
2013-03-02T14:00:00,61,100,,,,,,
2013-03-02T15:00:00,64,116,,,,,,
2013-03-02T16:00:00,52,113,,,,,,
2013-03-02T17:00:00,47,94,,,,,,
2013-03-02T18:00:00,59,80,,,,,,
2013-03-02T19:00:00,35,49,,,,,,
2013-03-02T20:00:00,43,32,,,,,,
2013-03-02T21:00:00,53,21,,,,,,
2013-03-02T22:00:00,52,3,,,,,,
2013-03-02T23:00:00,43,2,,,,,,
2013-03-03T00:00:00,43,9,,,,,,
2013-03-03T01:00:00,52,6,,,,,,
2013-03-03T02:00:00,62,0,,,,,,
2013-03-03T03:00:00,57,0,,,,,,
2013-03-03T04:00:00,37,0,,,,,,
2013-03-03T05:00:00,38,2,,,,,,
2013-03-03T06:00:00,28,0,,,,,,
2013-03-03T07:00:00,31,1,,,,,,
2013-03-03T08:00:00,34,2,,,,,,
2013-03-03T09:00:00,31,11,,,,,,
2013-03-03T10:00:00,33,28,1,,,,,
2013-03-03T11:00:00,34,51,,,,,,
2013-03-03T12:00:00,36,69,,,,,,
2013-03-03T13:00:00,46,81,,,,,,
2013-03-03T14:00:00,22,88,,,,,,
2013-03-03T15:00:00,30,84,,,,,,
2013-03-03T16:00:00,15,88,,,,,,
2013-03-03T17:00:00,23,80,,,,,,
2013-03-03T18:00:00,6,44,,,,,,
2013-03-03T19:00:00,26,17,,,,,,
2013-03-03T20:00:00,19,9,,,,,,
2013-03-03T21:00:00,16,7,,,,,,
2013-03-03T22:00:00,24,2,,,,,,
2013-03-03T23:00:00,29,0,,,,,,
2013-03-04T00:00:00,24,1,,,,,,
2013-03-04T01:00:00,59,3,,,,,,
2013-03-04T02:00:00,55,4,,,,,,
2013-03-04T03:00:00,42,3,,,,,,
2013-03-04T04:00:00,49,5,,,,,,
2013-03-04T05:00:00,29,5,,,,,,
2013-03-04T06:00:00,31,0,,,,,,
2013-03-04T07:00:00,34,1,,,,,,
2013-03-04T08:00:00,41,0,,,,,,
2013-03-04T09:00:00,ND,ND,ND,ND,ND,ND,ND,ND
2013-03-04T10:00:00,34,16,,,,,,
2013-03-04T11:00:00,39,29,,,,,,
2013-03-04T12:00:00,39,57,,,,,,
2013-03-04T13:00:00,51,67,,,,,,
2013-03-04T14:00:00,76,84,,,,,,
2013-03-04T15:00:00,66,107,,,,,,
2013-03-04T16:00:00,62,99,,,,,,
2013-03-04T17:00:00,55,88,,,,,,
2013-03-04T18:00:00,61,64,,,,,,
2013-03-04T19:00:00,68,44,,,,,,
2013-03-04T20:00:00,56,23,,,,,,
2013-03-04T21:00:00,58,19,,,,,,
2013-03-04T22:00:00,65,19,,,,,,
2013-03-04T23:00:00,40,21,,,,,,
2013-03-05T00:00:00,42,27,,,,,,
2013-03-05T01:00:00,48,17,,,,,,
2013-03-05T02:00:00,71,6,,,,,,
2013-03-05T03:00:00,54,6,,,,,,
2013-03-05T04:00:00,63,6,,,,,,
2013-03-05T05:00:00,45,9,,,,,,
2013-03-05T06:00:00,22,11,,,,,,
2013-03-05T07:00:00,ND,0,,,,,,
2013-03-05T08:00:00,56,7,,,,,,
2013-03-05T09:00:00,49,20,,,,,,
2013-03-05T10:00:00,28,49,,,,,,
2013-03-05T11:00:00,28,ND,0,,,,,
2013-03-05T12:00:00,ND,ND,0,,,,,
2013-03-05T13:00:00,ND,ND,0,,,,,
2013-03-05T14:00:00,ND,ND,0,,,,,
2013-03-05T15:00:00,ND,ND,0,,,,,
2013-03-05T16:00:00,ND,ND,0,,,,,
2013-03-05T17:00:00,ND,ND,2,,,,,
2013-03-05T18:00:00,ND,ND,2,,,,,
2013-03-05T19:00:00,ND,ND,1,,,,,
2013-03-05T20:00:00,ND,ND,0,,,,,
2013-03-05T21:00:00,ND,ND,1,,,,,
2013-03-05T22:00:00,ND,ND,0,,,,,
2013-03-05T23:00:00,ND,ND,0,,,,,
