Fecha & Hora,PM10 (ug/m3),PM2,,,,,,,
2014-01-30T11:00:00,ND,ND,61,,,,,,
2014-01-30T12:00:00,ND,ND,69,,,,,,
2014-01-30T13:00:00,ND,ND,93,,,,,,
2014-01-30T14:00:00,ND,ND,85,,,,,,
2014-01-30T15:00:00,ND,ND,52,,,,,,
2014-01-30T16:00:00,ND,ND,42,,,,,,
2014-01-30T17:00:00,ND,ND,26,,,,,,
2014-01-30T18:00:00,ND,ND,26,,,,,,
2014-01-30T19:00:00,ND,ND,26,,,,,,
2014-01-30T20:00:00,ND,ND,28,,,,,,
2014-01-30T21:00:00,ND,ND,16,,,,,,
2014-01-30T22:00:00,ND,ND,13,,,,,,
2014-01-30T23:00:00,ND,ND,1,,,,,,
2014-01-31T00:00:00,ND,ND,1,,,,,,
2014-01-31T01:00:00,ND,ND,3,,,,,,
2014-01-31T02:00:00,ND,ND,4,,,,,,
2014-01-31T03:00:00,ND,ND,2,,,,,,
2014-01-31T04:00:00,ND,ND,0,ND,ND,21,,,
2014-01-31T05:00:00,ND,ND,0,ND,ND,21,,,
2014-01-31T06:00:00,ND,ND,0,,,,,,
2014-01-31T07:00:00,ND,ND,0,,,,,,
2014-01-31T08:00:00,ND,ND,2,,,,,,
2014-01-31T09:00:00,ND,ND,8,,,,,,
2014-01-31T10:00:00,ND,ND,16,,,,,,
2014-01-31T11:00:00,ND,ND,31,,,,,,
2014-01-31T12:00:00,ND,ND,50,,,,,,
2014-01-31T13:00:00,ND,ND,62,,,,,,
2014-01-31T14:00:00,ND,ND,77,,,,,,
2014-01-31T15:00:00,ND,ND,89,,,,,,
2014-01-31T16:00:00,ND,ND,97,,,,,,
2014-01-31T17:00:00,ND,ND,69,,,,,,
2014-01-31T18:00:00,ND,ND,35,,,,,,
2014-01-31T19:00:00,ND,ND,16,,,,,,
2014-01-31T20:00:00,ND,ND,1,,,,,,
2014-01-31T21:00:00,ND,ND,0,,,,,,
2014-01-31T22:00:00,ND,ND,1,,,,,,
2014-01-31T23:00:00,ND,ND,3,,,,,,
2014-02-01T00:00:00,ND,ND,8,,,,,,
2014-02-01T01:00:00,ND,ND,8,,,,,,
2014-02-01T02:00:00,ND,ND,10,,,,,,
2014-02-01T03:00:00,ND,ND,10,,,,,,
2014-02-01T04:00:00,ND,ND,0,,,,,,
2014-02-01T05:00:00,ND,ND,0,,,,,,
2014-02-01T06:00:00,ND,ND,0,,,,,,
2014-02-01T07:00:00,ND,ND,0,,,,,,
2014-02-01T08:00:00,ND,ND,3,,,,,,
2014-02-01T09:00:00,ND,ND,16,,,,,,
2014-02-01T10:00:00,ND,ND,32,,,,,,
2014-02-01T11:00:00,ND,ND,59,,,,,,
2014-02-01T12:00:00,ND,ND,86,,,,,,
2014-02-01T13:00:00,ND,ND,83,,,,,,
2014-02-01T14:00:00,ND,ND,120,,,,,,
2014-02-01T15:00:00,ND,ND,135,,,,,,
2014-02-01T16:00:00,ND,ND,79,,,,,,
2014-02-01T17:00:00,ND,ND,40,,,,,,
2014-02-01T18:00:00,ND,ND,27,,,,,,
2014-02-01T19:00:00,ND,ND,8,,,,,,
2014-02-01T20:00:00,ND,ND,3,,,,,,
2014-02-01T21:00:00,ND,ND,0,,,,,,
2014-02-01T22:00:00,ND,ND,0,,,,,,
2014-02-01T23:00:00,ND,ND,1,,,,,,
2014-02-02T00:00:00,ND,ND,0,,,,,,
2014-02-02T01:00:00,ND,ND,1,,,,,,
2014-02-02T02:00:00,ND,ND,7,,,,,,
2014-02-02T03:00:00,ND,ND,5,,,,,,
2014-02-02T04:00:00,ND,ND,2,,,,,,
2014-02-02T05:00:00,ND,ND,6,,,,,,
2014-02-02T06:00:00,ND,ND,5,,,,,,
2014-02-02T07:00:00,ND,ND,1,ND,ND,22,,,
2014-02-02T08:00:00,ND,ND,4,,,,,,
2014-02-02T09:00:00,ND,ND,5,,,,,,
2014-02-02T10:00:00,ND,ND,24,,,,,,
2014-02-02T11:00:00,ND,ND,61,,,,,,
2014-02-02T12:00:00,ND,ND,102,,,,,,
2014-02-02T13:00:00,ND,ND,111,,,,,,
2014-02-02T14:00:00,ND,ND,57,,,,,,
2014-02-02T15:00:00,ND,ND,40,,,,,,
2014-02-02T16:00:00,ND,ND,40,,,,,,
2014-02-02T17:00:00,ND,ND,33,,,,,,
