Fecha & Hora,PM10 (ug/m3),PM2.5 (ug/m3),H2S (ug/m3)
01/01/2014 01:00,ND,ND,ND
01/01/2014 02:00,ND,ND,ND
01/01/2014 03:00,ND,ND,ND
01/01/2014 04:00,ND,ND,ND
01/01/2014 05:00,ND,ND,ND
01/01/2014 06:00,ND,ND,ND
01/01/2014 07:00,ND,ND,ND
01/01/2014 08:00,ND,ND,ND
01/01/2014 09:00,ND,ND,ND
01/01/2014 10:00,ND,ND,ND
01/01/2014 11:00,ND,ND,ND
01/01/2014 12:00,ND,ND,ND
01/01/2014 13:00,ND,ND,ND
01/01/2014 14:00,ND,ND,ND
01/01/2014 15:00,ND,ND,ND
01/01/2014 16:00,ND,ND,ND
01/01/2014 17:00,ND,ND,ND
01/01/2014 18:00,ND,ND,ND
01/01/2014 19:00,ND,ND,ND
01/01/2014 20:00,ND,ND,ND
01/01/2014 21:00,ND,ND,ND
01/01/2014 22:00,ND,ND,ND
01/01/2014 23:00,ND,ND,ND
01/02/2014 00:00,ND,ND,ND
01/02/2014 01:00,ND,ND,ND
01/02/2014 02:00,ND,ND,ND
01/02/2014 03:00,ND,ND,ND
01/02/2014 04:00,ND,ND,ND
01/02/2014 05:00,ND,ND,ND
01/02/2014 06:00,ND,ND,ND
01/02/2014 07:00,ND,ND,ND
01/02/2014 08:00,ND,ND,ND
01/02/2014 09:00,ND,ND,ND
01/02/2014 10:00,ND,ND,ND
01/02/2014 11:00,ND,ND,ND
01/02/2014 12:00,ND,ND,ND
01/02/2014 13:00,ND,ND,ND
01/02/2014 14:00,ND,ND,ND
01/02/2014 15:00,ND,ND,ND
01/02/2014 16:00,ND,ND,ND
01/02/2014 17:00,ND,ND,ND
01/02/2014 18:00,ND,ND,ND
01/02/2014 19:00,ND,ND,ND
01/02/2014 20:00,ND,ND,ND
01/02/2014 21:00,ND,ND,ND
01/02/2014 22:00,ND,ND,ND
01/02/2014 23:00,ND,ND,ND
01/03/2014 00:00,ND,ND,ND
01/03/2014 01:00,ND,ND,ND
01/03/2014 02:00,ND,ND,ND
01/03/2014 03:00,ND,ND,ND
01/03/2014 04:00,ND,ND,ND
01/03/2014 05:00,ND,ND,ND
01/03/2014 06:00,ND,ND,ND
01/03/2014 07:00,ND,ND,ND
01/03/2014 08:00,ND,ND,ND
01/03/2014 09:00,ND,ND,ND
01/03/2014 10:00,ND,ND,ND
01/03/2014 11:00,ND,ND,ND
01/03/2014 12:00,ND,ND,ND
01/03/2014 13:00,ND,ND,ND
01/03/2014 14:00,ND,ND,ND
01/03/2014 15:00,ND,ND,ND
