Fecha & Hora,PM10 (ug/m3),SO2  (ug/m3),
08/29/2013 20:00,48,,
08/29/2013 21:00,33,,
08/29/2013 22:00,32,,
08/29/2013 23:00,26,,
08/30/2013 00:00,18,,
08/30/2013 01:00,30,,
08/30/2013 02:00,30,,
08/30/2013 03:00,25,,
08/30/2013 04:00,19,,
08/30/2013 05:00,21,,
08/30/2013 06:00,28,,
08/30/2013 07:00,36,,
08/30/2013 08:00,88,,
08/30/2013 09:00,110,,
08/30/2013 10:00,108,,
08/30/2013 11:00,70,,
08/30/2013 12:00,49,,
08/30/2013 13:00,61,,
08/30/2013 14:00,40,,
08/30/2013 15:00,46,,
08/30/2013 16:00,54,,
08/30/2013 17:00,63,,
08/30/2013 18:00,78,,
08/30/2013 19:00,80,,
08/30/2013 20:00,67,,
08/30/2013 21:00,46,,
08/30/2013 22:00,33,,
08/30/2013 23:00,23,,
08/31/2013 00:00,58,,
08/31/2013 01:00,63,,
08/31/2013 02:00,18,,
08/31/2013 03:00,18,,
08/31/2013 04:00,17,,
08/31/2013 05:00,33,,
08/31/2013 06:00,23,,
08/31/2013 07:00,31,,
08/31/2013 08:00,54,,
08/31/2013 09:00,48,,
08/31/2013 10:00,48,,
08/31/2013 11:00,73,,
08/31/2013 12:00,64,,
08/31/2013 13:00,70,,
08/31/2013 14:00,56,,
08/31/2013 15:00,54,,
08/31/2013 16:00,61,,
08/31/2013 17:00,55,,
08/31/2013 18:00,42,,
08/31/2013 19:00,53,,
08/31/2013 20:00,32,,
08/31/2013 21:00,25,,
08/31/2013 22:00,19,,
08/31/2013 23:00,13,,
41283,10,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41283,,,
41314,11,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41314,,,
41342,13,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41342,,,
41373,13,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41373,,,
41403,33,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
41403,,,
