_id,Fecha & Hora,PM2.5 (ug/m3),SO2  (ug/m3),O3  (ug/m3)
1,2013-03-09T00:00:00,10,ND,1
2,2013-03-09T01:00:00,15,ND,5
3,2013-03-09T02:00:00,18,ND,8
4,2013-03-09T03:00:00,14,ND,10
5,2013-03-09T04:00:00,21,ND,10
6,2013-03-09T05:00:00,23,ND,9
7,2013-03-09T06:00:00,15,ND,5
8,2013-03-09T07:00:00,35,ND,2
9,2013-03-09T08:00:00,49,ND,3
10,2013-03-09T09:00:00,30,ND,12
11,2013-03-09T10:00:00,30,ND,35
12,2013-03-09T11:00:00,7,ND,59
13,2013-03-09T12:00:00,27,ND,90
14,2013-03-09T13:00:00,27,ND,101
15,2013-03-09T14:00:00,10,ND,54
16,2013-03-09T15:00:00,16,ND,96
17,2013-03-09T16:00:00,8,ND,71
18,2013-03-09T17:00:00,9,ND,57
19,2013-03-09T18:00:00,4,ND,34
20,2013-03-09T19:00:00,ND,ND,28
21,2013-03-09T20:00:00,1,ND,18
22,2013-03-09T21:00:00,16,ND,2
23,2013-03-09T22:00:00,8,ND,3
24,2013-03-09T23:00:00,14,ND,1
25,2013-03-10T00:00:00,36,ND,ND
26,2013-03-10T01:00:00,6,ND,1
27,2013-03-10T02:00:00,8,ND,1
28,2013-03-10T03:00:00,18,ND,2
29,2013-03-10T04:00:00,11,ND,2
30,2013-03-10T05:00:00,6,ND,1
31,2013-03-10T06:00:00,18,ND,1
32,2013-03-10T07:00:00,7,ND,1
33,2013-03-10T08:00:00,20,ND,3
34,2013-03-10T09:00:00,29,ND,17
35,2013-03-10T10:00:00,22,ND,44
36,2013-03-10T11:00:00,26,ND,82
37,2013-03-10T12:00:00,ND,ND,92
38,2013-03-10T13:00:00,1,ND,89
39,2013-03-10T14:00:00,2,ND,ND
40,2013-03-10T15:00:00,15,ND,ND
41,2013-03-10T16:00:00,17,ND,ND
42,2013-03-10T17:00:00,16,ND,ND
43,2013-03-10T18:00:00,8,ND,ND
44,2013-03-10T19:00:00,8,ND,ND
45,2013-03-10T20:00:00,16,ND,ND
46,2013-03-10T21:00:00,11,ND,ND
47,2013-03-10T22:00:00,16,ND,ND
48,2013-03-10T23:00:00,24,ND,ND
49,2013-03-11T00:00:00,9,ND,ND
50,2013-03-11T01:00:00,25,ND,ND
51,2013-03-11T02:00:00,17,ND,ND
52,2013-03-11T03:00:00,19,ND,ND
53,2013-03-11T04:00:00,14,ND,ND
54,2013-03-11T05:00:00,17,ND,ND
55,2013-03-11T06:00:00,18,ND,ND
56,2013-03-11T07:00:00,21,ND,ND
57,2013-03-11T08:00:00,33,ND,ND
58,2013-03-11T09:00:00,18,ND,ND
59,2013-03-11T10:00:00,18,ND,ND
