id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
1,01 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
2,02 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
3,03 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
4,04 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
5,05 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
6,06 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
7,07 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
8,08 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
9,09 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
10,10 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
11,11 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
12,12 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
13,13 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
14,14 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
15,15 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
16,16 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
17,17 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
18,18 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
19,19 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
20,20 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
21,21 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
22,22 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
23,23 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
24,24 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
25,25 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
26,26 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
27,27 1 10,ND,ND,ND,ND,ND,ND,ND,ND,ND
28,28 1 10,21,ND,ND,ND,ND,ND,ND,ND,ND
29,29 1 10,21,ND,ND,ND,ND,ND,ND,ND,ND
30,30 1 10,15,ND,ND,ND,ND,ND,ND,ND,ND
31,31 1 10,15,ND,ND,ND,ND,ND,ND,ND,ND
32,01 2 10,14,ND,ND,ND,ND,ND,ND,ND,ND
33,02 2 10,16,ND,ND,ND,ND,ND,ND,ND,ND
34,03 2 10,14,ND,ND,ND,ND,ND,ND,ND,ND
35,04 2 10,19,ND,ND,ND,ND,ND,ND,ND,ND
36,05 2 10,19,ND,ND,ND,ND,ND,ND,ND,ND
37,06 2 10,26,ND,ND,ND,ND,ND,ND,ND,ND
38,07 2 10,24,ND,ND,ND,ND,ND,ND,ND,ND
39,08 2 10,19,ND,ND,ND,ND,ND,ND,ND,ND
40,09 2 10,31,ND,ND,ND,ND,ND,ND,ND,ND
41,10 2 10,31,ND,ND,ND,ND,ND,ND,ND,ND
42,11 2 10,23,ND,ND,ND,ND,ND,ND,ND,ND
43,12 2 10,23,ND,ND,ND,ND,ND,ND,ND,ND
44,13 2 10,5,ND,ND,ND,ND,ND,ND,ND,ND
45,14 2 10,1,ND,ND,ND,ND,ND,ND,ND,ND
